file name, index, score
lima, 508, 0.032786
lima, 233, 0.032785
lima, 189, 0.032776
lima, 243, 0.032718
lima, 285, 0.032666
lima, 386, 0.032653
lima, 475, 0.032644
lima, 15, 0.032545
lima, 322, 0.032514
lima, 502, 0.032498
lima, 880, 0.03248
lima, 90, 0.03239
lima, 209, 0.032374
lima, 986, 0.032363
lima, 512, 0.032321
lima, 560, 0.032281
lima, 143, 0.032213
lima, 218, 0.031766
lima, 730, 0.031746
lima, 993, 0.031717
lima, 629, 0.031679
lima, 129, 0.031658
lima, 298, 0.03165
lima, 73, 0.031573
lima, 361, 0.031573
lima, 607, 0.031548
lima, 271, 0.031538
lima, 672, 0.031535
lima, 489, 0.031483
lima, 707, 0.031482
lima, 939, 0.031384
lima, 557, 0.03136
lima, 321, 0.031217
lima, 185, 0.031179
lima, 515, 0.031172
lima, 197, 0.031132
lima, 367, 0.031081
lima, 693, 0.03104
lima, 1000, 0.031006
lima, 636, 0.030991
lima, 525, 0.030983
lima, 837, 0.030966
lima, 1021, 0.030894
lima, 126, 0.030859
lima, 711, 0.030824
lima, 163, 0.030822
lima, 434, 0.030783
lima, 376, 0.030751
lima, 91, 0.030749
lima, 78, 0.030667
lima, 588, 0.030638
lima, 192, 0.030619
lima, 897, 0.03056
lima, 951, 0.03049
lima, 56, 0.030479
lima, 777, 0.030466
lima, 958, 0.030355
lima, 343, 0.030334
lima, 426, 0.030283
lima, 867, 0.030124
lima, 888, 0.030122
lima, 788, 0.030041
lima, 749, 0.030018
lima, 317, 0.029944
lima, 268, 0.029903
lima, 10, 0.029869
lima, 253, 0.029866
lima, 878, 0.029854
lima, 99, 0.029851
lima, 563, 0.029847
lima, 39, 0.029822
lima, 1003, 0.029706
lima, 773, 0.02969
lima, 652, 0.029613
lima, 416, 0.029514
lima, 331, 0.029495
lima, 659, 0.029481
lima, 641, 0.029434
lima, 165, 0.029344
lima, 392, 0.029338
lima, 420, 0.02929
lima, 337, 0.029285
lima, 742, 0.029202
lima, 714, 0.029178
lima, 186, 0.029143
lima, 363, 0.029129
lima, 671, 0.029075
lima, 308, 0.029043
lima, 862, 0.029027
lima, 706, 0.028951
lima, 971, 0.028947
lima, 900, 0.028944
lima, 329, 0.028916
lima, 310, 0.028874
lima, 350, 0.028864
lima, 667, 0.028842
lima, 122, 0.02883
lima, 747, 0.028809
lima, 654, 0.028806
lima, 712, 0.028788
lima, 262, 0.028615
lima, 154, 0.028591
lima, 169, 0.028544
lima, 699, 0.028516
lima, 735, 0.028497
lima, 335, 0.028425
lima, 482, 0.028223
lima, 944, 0.028172
lima, 1026, 0.028149
lima, 709, 0.02807
lima, 559, 0.028038
lima, 621, 0.028028
lima, 316, 0.02799
lima, 646, 0.027936
lima, 431, 0.027909
lima, 661, 0.027907
lima, 926, 0.027719
lima, 33, 0.027654
lima, 425, 0.027637
lima, 996, 0.02762
lima, 487, 0.027591
lima, 328, 0.027544
lima, 200, 0.027514
lima, 220, 0.027502
lima, 745, 0.027476
lima, 785, 0.027454
lima, 529, 0.027423
lima, 289, 0.027413
lima, 657, 0.02741
lima, 999, 0.027394
lima, 727, 0.027353
lima, 662, 0.027312
lima, 928, 0.027229
lima, 952, 0.026969
lima, 655, 0.026904
lima, 480, 0.02682
lima, 296, 0.026758
lima, 620, 0.026717
lima, 141, 0.0267
lima, 358, 0.02666
lima, 406, 0.026618
lima, 849, 0.026606
lima, 461, 0.026599
lima, 784, 0.026593
lima, 292, 0.026565
lima, 670, 0.026447
lima, 770, 0.026381
lima, 379, 0.026342
lima, 38, 0.026329
lima, 751, 0.026301
lima, 890, 0.026216
lima, 184, 0.0262
lima, 824, 0.026098
lima, 324, 0.026074
lima, 565, 0.026055
lima, 983, 0.026045
lima, 583, 0.026043
lima, 162, 0.026039
lima, 575, 0.025987
lima, 850, 0.025906
lima, 374, 0.025841
lima, 31, 0.025804
lima, 606, 0.025803
lima, 13, 0.025787
lima, 20, 0.025768
lima, 568, 0.025672
lima, 1009, 0.025639
lima, 470, 0.025638
lima, 600, 0.025492
lima, 677, 0.025475
lima, 341, 0.025472
lima, 113, 0.025276
lima, 390, 0.025237
lima, 263, 0.025186
lima, 287, 0.025179
lima, 108, 0.025072
lima, 799, 0.025002
lima, 969, 0.02493
lima, 644, 0.024922
lima, 180, 0.024916
lima, 193, 0.024859
lima, 183, 0.024841
lima, 318, 0.024824
lima, 138, 0.024806
lima, 146, 0.02477
lima, 534, 0.024742
lima, 723, 0.024701
lima, 578, 0.024689
lima, 694, 0.024633
lima, 766, 0.024626
lima, 616, 0.024568
lima, 128, 0.024549
lima, 741, 0.02452
lima, 302, 0.02451
lima, 330, 0.024498
lima, 594, 0.024373
lima, 865, 0.024366
lima, 17, 0.024267
lima, 245, 0.024251
lima, 204, 0.024218
lima, 474, 0.02419
lima, 107, 0.024172
lima, 355, 0.024108
lima, 375, 0.024074
lima, 710, 0.023956
lima, 456, 0.023856
lima, 992, 0.02384
lima, 779, 0.02384
lima, 399, 0.023626
lima, 48, 0.023426
lima, 518, 0.023386
lima, 247, 0.023353
lima, 156, 0.023295
lima, 844, 0.023241
lima, 884, 0.023236
lima, 1006, 0.023208
lima, 441, 0.023201
lima, 592, 0.022995
lima, 753, 0.022931
lima, 514, 0.022874
lima, 430, 0.022753
lima, 868, 0.022648
lima, 991, 0.022626
lima, 381, 0.02252
lima, 53, 0.022435
lima, 345, 0.022428
lima, 421, 0.022407
lima, 642, 0.022345
lima, 304, 0.022345
lima, 650, 0.022326
lima, 349, 0.022318
lima, 486, 0.022275
lima, 203, 0.022263
lima, 854, 0.022252
lima, 260, 0.022199
lima, 789, 0.022159
lima, 682, 0.022002
lima, 191, 0.021829
lima, 23, 0.021801
lima, 42, 0.021723
lima, 340, 0.021715
lima, 413, 0.021597
lima, 619, 0.021513
lima, 842, 0.021507
lima, 584, 0.021496
lima, 547, 0.021469
lima, 103, 0.021411
lima, 85, 0.021339
lima, 783, 0.021292
lima, 937, 0.021241
lima, 493, 0.021133
lima, 167, 0.021012
lima, 359, 0.020999
lima, 895, 0.020957
lima, 234, 0.020886
lima, 372, 0.020832
lima, 704, 0.020829
lima, 299, 0.020689
lima, 536, 0.020598
lima, 774, 0.02055
lima, 27, 0.020405
lima, 436, 0.020386
lima, 211, 0.020365
lima, 627, 0.020218
lima, 551, 0.020093
lima, 775, 0.020074
lima, 676, 0.020073
lima, 415, 0.02
lima, 231, 0.019988
lima, 446, 0.019944
lima, 215, 0.019925
lima, 389, 0.019894
lima, 81, 0.019858
lima, 902, 0.019746
lima, 809, 0.019726
lima, 259, 0.019662
lima, 759, 0.019641
lima, 148, 0.019622
lima, 639, 0.019428
lima, 935, 0.019396
lima, 566, 0.019325
lima, 859, 0.019308
lima, 522, 0.019264
lima, 60, 0.019211
lima, 564, 0.019204
lima, 334, 0.01918
lima, 602, 0.019144
lima, 1012, 0.019121
lima, 76, 0.019112
lima, 346, 0.019102
lima, 303, 0.019067
lima, 689, 0.01904
lima, 791, 0.018928
lima, 86, 0.018836
lima, 225, 0.0188
lima, 275, 0.018738
lima, 114, 0.018665
lima, 989, 0.018581
lima, 95, 0.018566
lima, 790, 0.01844
lima, 306, 0.018342
lima, 754, 0.018333
lima, 471, 0.01833
lima, 312, 0.018288
lima, 492, 0.018286
lima, 160, 0.01826
lima, 477, 0.018187
lima, 696, 0.018076
lima, 395, 0.017974
lima, 881, 0.017717
lima, 538, 0.017695
lima, 305, 0.017548
lima, 701, 0.017482
lima, 67, 0.017398
lima, 590, 0.017397
lima, 8, 0.017288
